
[00/00/0000 00:00:05] Ti:22.2 | Te:23.1 | H:72.6% | pH:11.55 L:0
[07/04/2026 03:59:43] Ti:23.2 | Te:23.3 | H:69.1% | pH:11.55 L:0
[07/04/2026 03:59:48] Ti:23.2 | Te:23.3 | H:69.1% | pH:11.55 L:0
[07/04/2026 03:59:53] Ti:23.3 | Te:23.3 | H:69.0% | pH:11.55 L:0
[07/04/2026 03:59:58] Ti:23.3 | Te:23.3 | H:69.0% | pH:11.55 L:0
[07/04/2026 03:60:03] Ti:23.3 | Te:23.3 | H:69.1% | pH:11.55 L:0
[07/04/2026 03:60:08] Ti:23.3 | Te:23.3 | H:69.0% | pH:11.55 L:0
[07/04/2026 03:60:13] Ti:23.2 | Te:23.3 | H:69.0% | pH:11.55 L:0
[07/04/2026 04:00:23] Ti:23.2 | Te:23.3 | H:68.9% | pH:11.55 L:0
[07/04/2026 04:00:29] Ti:23.2 | Te:23.3 | H:68.9% | pH:11.55 L:0
[07/04/2026 04:00:35] Ti:23.2 | Te:23.3 | H:68.9% | pH:11.55 L:0
[07/04/2026 04:00:41] Ti:23.2 | Te:23.3 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:00:47] Ti:23.2 | Te:23.3 | H:68.9% | pH:11.55 L:0
[07/04/2026 04:00:52] Ti:23.2 | Te:23.3 | H:68.9% | pH:11.55 L:0
[07/04/2026 04:00:57] Ti:23.3 | Te:23.3 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:01:02] Ti:23.2 | Te:23.3 | H:68.9% | pH:11.55 L:0
[07/04/2026 04:01:07] Ti:23.2 | Te:23.3 | H:68.9% | pH:11.55 L:0
[07/04/2026 04:01:12] Ti:23.2 | Te:23.3 | H:68.9% | pH:11.55 L:0
[07/04/2026 04:01:17] Ti:23.2 | Te:23.3 | H:69.0% | pH:11.55 L:0
[07/04/2026 04:01:27] Ti:23.2 | Te:23.3 | H:69.1% | pH:11.55 L:0
[07/04/2026 04:01:33] Ti:23.3 | Te:23.3 | H:69.1% | pH:11.55 L:0
[07/04/2026 04:01:39] Ti:23.2 | Te:23.3 | H:69.0% | pH:11.55 L:0
[07/04/2026 04:01:45] Ti:23.2 | Te:23.3 | H:68.9% | pH:11.55 L:0
[07/04/2026 04:01:51] Ti:23.2 | Te:23.3 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:01:56] Ti:23.2 | Te:23.3 | H:68.9% | pH:11.55 L:0
[07/04/2026 04:02:01] Ti:23.2 | Te:23.3 | H:68.9% | pH:11.55 L:0
[07/04/2026 04:02:06] Ti:23.3 | Te:23.3 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:02:11] Ti:23.2 | Te:23.3 | H:68.9% | pH:11.55 L:0
[07/04/2026 04:02:16] Ti:23.2 | Te:23.3 | H:68.9% | pH:11.55 L:0
[07/04/2026 04:02:21] Ti:23.2 | Te:23.3 | H:68.9% | pH:11.55 L:0
[07/04/2026 04:02:31] Ti:23.2 | Te:23.3 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:02:37] Ti:23.3 | Te:23.3 | H:68.9% | pH:11.55 L:0
[07/04/2026 04:02:43] Ti:23.3 | Te:23.3 | H:69.0% | pH:11.55 L:0
[07/04/2026 04:02:49] Ti:23.2 | Te:23.3 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:02:55] Ti:23.3 | Te:23.3 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:03:01] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:03:06] Ti:23.3 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:03:11] Ti:23.2 | Te:23.3 | H:68.9% | pH:11.55 L:0
[07/04/2026 04:03:16] Ti:23.3 | Te:23.3 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:03:21] Ti:23.3 | Te:23.3 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:03:26] Ti:23.3 | Te:23.3 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:03:35] Ti:23.3 | Te:23.3 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:03:41] Ti:23.3 | Te:23.3 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:03:47] Ti:23.3 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:03:53] Ti:23.2 | Te:23.3 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:03:59] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:04:05] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:04:10] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:04:15] Ti:23.3 | Te:23.3 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:04:20] Ti:23.2 | Te:23.3 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:04:25] Ti:23.3 | Te:23.3 | H:68.9% | pH:11.55 L:0
[07/04/2026 04:04:30] Ti:23.3 | Te:23.2 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:04:39] Ti:23.3 | Te:23.2 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:04:45] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:04:51] Ti:23.3 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:04:57] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:05:03] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:05:09] Ti:23.3 | Te:23.3 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:05:14] Ti:23.3 | Te:23.3 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:05:19] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:05:24] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:05:29] Ti:23.3 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:05:34] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:05:43] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:05:49] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:05:55] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:06:01] Ti:23.2 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:06:07] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:06:13] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:06:18] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:06:23] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:06:28] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:06:33] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:06:38] Ti:23.3 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:06:47] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:06:53] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:06:59] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:07:05] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:07:11] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:07:17] Ti:23.3 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:07:22] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:07:27] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:07:32] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:07:37] Ti:23.3 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:07:42] Ti:23.3 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:07:47] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:07:57] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:08:03] Ti:23.3 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:08:09] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:08:15] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:08:21] Ti:23.2 | Te:23.2 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:08:26] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:08:31] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:08:36] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:08:41] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:08:46] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:08:51] Ti:23.2 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:09:01] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:09:07] Ti:23.3 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:09:13] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:09:19] Ti:23.3 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:09:25] Ti:23.3 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:09:30] Ti:23.2 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:09:35] Ti:23.3 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:09:40] Ti:23.2 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:09:45] Ti:23.3 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:09:50] Ti:23.3 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:09:55] Ti:23.3 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:10:05] Ti:23.3 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:10:11] Ti:23.3 | Te:23.2 | H:68.4% | pH:11.55 L:0
[07/04/2026 04:10:17] Ti:23.3 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:10:23] Ti:23.2 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:10:29] Ti:23.3 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:10:34] Ti:23.2 | Te:23.2 | H:68.4% | pH:11.55 L:0
[07/04/2026 04:10:39] Ti:23.3 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:10:44] Ti:23.3 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:10:49] Ti:23.2 | Te:23.3 | H:68.4% | pH:11.55 L:0
[07/04/2026 04:10:54] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:10:59] Ti:23.2 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:11:09] Ti:23.2 | Te:23.3 | H:68.3% | pH:11.55 L:0
[07/04/2026 04:11:15] Ti:23.2 | Te:23.3 | H:68.3% | pH:11.55 L:0
[07/04/2026 04:11:21] Ti:23.2 | Te:23.2 | H:68.3% | pH:11.55 L:0
[07/04/2026 04:11:27] Ti:23.2 | Te:23.3 | H:68.4% | pH:11.55 L:0
[07/04/2026 04:11:33] Ti:23.2 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:11:39] Ti:23.3 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:11:44] Ti:23.2 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:11:49] Ti:23.3 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:11:54] Ti:23.3 | Te:23.3 | H:68.4% | pH:11.55 L:0
[07/04/2026 04:11:59] Ti:23.3 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:12:04] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:12:13] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:12:19] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:12:25] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:12:31] Ti:23.3 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:12:37] Ti:23.2 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:12:43] Ti:23.3 | Te:23.2 | H:68.4% | pH:11.55 L:0
[07/04/2026 04:12:48] Ti:23.2 | Te:23.3 | H:68.4% | pH:11.55 L:0
[07/04/2026 04:12:53] Ti:23.3 | Te:23.3 | H:68.4% | pH:11.55 L:0
[07/04/2026 04:12:58] Ti:23.3 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:13:03] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:13:08] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:13:17] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:13:23] Ti:23.3 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:13:29] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:13:35] Ti:23.3 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:13:41] Ti:23.3 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:13:47] Ti:23.2 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:13:52] Ti:23.2 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:13:57] Ti:23.2 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:14:02] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:14:07] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:14:12] Ti:23.2 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:14:21] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:14:27] Ti:23.2 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:14:33] Ti:23.2 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:14:39] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:14:45] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:14:51] Ti:23.2 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:14:56] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:15:01] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:15:06] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:15:11] Ti:23.3 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:15:16] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:15:21] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:15:31] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:15:37] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:15:43] Ti:23.3 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:15:49] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:15:55] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:16:00] Ti:23.2 | Te:23.2 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:16:05] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:16:10] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:16:15] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:16:20] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:16:25] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:16:35] Ti:23.2 | Te:23.2 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:16:41] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:16:47] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:16:53] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:16:59] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:17:04] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:17:09] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:17:14] Ti:23.2 | Te:23.2 | H:68.4% | pH:11.55 L:0
[07/04/2026 04:17:19] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:17:24] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:17:29] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:17:39] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:17:45] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:17:51] Ti:23.2 | Te:23.2 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:17:57] Ti:23.2 | Te:23.2 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:18:03] Ti:23.3 | Te:23.2 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:18:08] Ti:23.2 | Te:23.2 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:18:13] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:18:18] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:18:23] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:18:28] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:18:33] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:18:43] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:18:49] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:18:55] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:19:01] Ti:23.2 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:19:07] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:19:13] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:19:18] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:19:23] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:19:28] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:19:33] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:19:38] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:19:47] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:19:53] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:19:59] Ti:23.3 | Te:23.2 | H:68.4% | pH:11.55 L:0
[07/04/2026 04:20:05] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:20:11] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:20:17] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:20:22] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:20:27] Ti:23.2 | Te:23.3 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:20:32] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:20:37] Ti:23.3 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:20:42] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:20:51] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:20:57] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:21:03] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:21:09] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:21:15] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:21:21] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:21:26] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:21:31] Ti:23.3 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:21:36] Ti:23.2 | Te:23.2 | H:68.4% | pH:11.55 L:0
[07/04/2026 04:21:41] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:21:46] Ti:23.3 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:21:55] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:22:01] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:22:07] Ti:23.2 | Te:23.2 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:22:13] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:22:19] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:22:25] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:22:30] Ti:23.2 | Te:23.3 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:22:35] Ti:23.2 | Te:23.2 | H:68.9% | pH:11.55 L:0
[07/04/2026 04:22:40] Ti:23.3 | Te:23.2 | H:69.0% | pH:11.55 L:0
[07/04/2026 04:22:45] Ti:23.2 | Te:23.2 | H:69.0% | pH:11.55 L:0
[07/04/2026 04:22:50] Ti:23.2 | Te:23.2 | H:69.0% | pH:11.55 L:0
[07/04/2026 04:22:55] Ti:23.2 | Te:23.2 | H:68.9% | pH:11.55 L:0
[07/04/2026 04:23:05] Ti:23.2 | Te:23.2 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:23:11] Ti:23.2 | Te:23.2 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:23:17] Ti:23.2 | Te:23.2 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:23:23] Ti:23.2 | Te:23.2 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:23:29] Ti:23.2 | Te:23.2 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:23:34] Ti:23.2 | Te:23.2 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:23:39] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:23:44] Ti:23.2 | Te:23.2 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:23:49] Ti:23.2 | Te:23.2 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:23:54] Ti:23.2 | Te:23.2 | H:68.9% | pH:11.55 L:0
[07/04/2026 04:23:59] Ti:23.2 | Te:23.2 | H:69.0% | pH:11.55 L:0
[07/04/2026 04:24:09] Ti:23.2 | Te:23.2 | H:69.0% | pH:11.55 L:0
[07/04/2026 04:24:15] Ti:23.2 | Te:23.3 | H:69.0% | pH:11.55 L:0
[07/04/2026 04:24:21] Ti:23.2 | Te:23.2 | H:69.1% | pH:11.55 L:0
[07/04/2026 04:24:27] Ti:23.2 | Te:23.2 | H:68.9% | pH:11.55 L:0
[07/04/2026 04:24:33] Ti:23.2 | Te:23.2 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:24:38] Ti:23.2 | Te:23.2 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:24:43] Ti:23.2 | Te:23.3 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:24:48] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:24:53] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:24:58] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:25:03] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:25:13] Ti:23.2 | Te:23.2 | H:68.4% | pH:11.55 L:0
[07/04/2026 04:25:19] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:25:25] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:25:31] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:25:37] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:25:42] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:25:47] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:25:52] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:25:57] Ti:23.2 | Te:23.2 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:26:02] Ti:23.2 | Te:23.2 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:26:07] Ti:23.2 | Te:23.2 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:26:17] Ti:23.2 | Te:23.2 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:26:23] Ti:23.2 | Te:23.2 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:26:29] Ti:23.2 | Te:23.2 | H:68.7% | pH:11.55 L:0
[07/04/2026 04:26:35] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:26:41] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:26:46] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:26:51] Ti:23.2 | Te:23.2 | H:68.5% | pH:11.55 L:0
[07/04/2026 04:26:56] Ti:23.2 | Te:23.2 | H:68.6% | pH:11.55 L:0
[07/04/2026 04:27:01] Ti:23.2 | Te:23.2 | H:68.8% | pH:11.55 L:0
[07/04/2026 04:27:06] Ti:23.2 | Te:23.2 | H:68.9% | pH:11.55 L:0
